CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage sages-femmes
01380;Saint-Nizier-le-Bouchoux;3_intermediaire
01381;Saint-Nizier-le-Désert;3_intermediaire
01382;Sainte-Olive;3_intermediaire
01383;Saint-Paul-de-Varax;3_intermediaire
01384;Saint-Rambert-en-Bugey;3_intermediaire
01385;Saint-Rémy;4_Tres_dotee
01386;Saint-Sorlin-en-Bugey;3_intermediaire
01387;Saint-Sulpice;3_intermediaire
01388;Saint-Trivier-de-Courtes;3_intermediaire
01389;Saint-Trivier-sur-Moignans;3_intermediaire
01390;Saint-Vulbas;3_intermediaire
01391;Salavre;3_intermediaire
01392;Samognat;3_intermediaire
01393;Sandrans;3_intermediaire
01396;Sault-Brénaz;3_intermediaire
01397;Sauverny;3_intermediaire
01398;Savigneux;4_Tres_dotee
01399;Ségny;3_intermediaire
01400;Seillonnaz;3_intermediaire
01401;Sergy;3_intermediaire
01402;Sermoyer;3_intermediaire
01403;Serrières-de-Briord;3_intermediaire
01404;Serrières-sur-Ain;3_intermediaire
01405;Servas;3_intermediaire
01406;Servignat;3_intermediaire
01407;Seyssel;3_intermediaire
01408;Simandre-sur-Suran;3_intermediaire
01410;Sonthonnax-la-Montagne;3_intermediaire
01411;Souclin;3_intermediaire
01412;Sulignat;3_intermediaire
01415;Talissieu;3_intermediaire
01416;Tenay;3_intermediaire
01418;Thil;3_intermediaire
01419;Thoiry;3_intermediaire
01420;Thoissey;4_Tres_dotee
01421;Torcieu;3_intermediaire
01422;Tossiat;3_intermediaire
01423;Toussieux;5_Sur_dotee
01424;Tramoyes;3_intermediaire
01425;La Tranclière;3_intermediaire
01426;Val-Revermont;3_intermediaire
01427;Trévoux;5_Sur_dotee
01428;Valeins;3_intermediaire
01429;Vandeins;3_intermediaire
01430;Varambon;5_Sur_dotee
01431;Vaux-en-Bugey;3_intermediaire
01432;Verjon;3_intermediaire
01433;Vernoux;3_intermediaire
01434;Versailleux;3_intermediaire
01435;Versonnex;3_intermediaire
01436;Vesancy;3_intermediaire
01437;Vescours;3_intermediaire
01439;Vésines;4_Tres_dotee
01441;Vieu-d'Izenave;3_intermediaire
01443;Villars-les-Dombes;3_intermediaire
01444;Villebois;3_intermediaire
01445;Villemotier;3_intermediaire
01446;Villeneuve;4_Tres_dotee
01447;Villereversure;3_intermediaire
01448;Villes;3_intermediaire
01449;Villette-sur-Ain;3_intermediaire
01450;Villieu-Loyes-Mollon;3_intermediaire
01451;Viriat;5_Sur_dotee
01452;Virieu-le-Grand;3_intermediaire
01453;Arvière-en-Valromey;3_intermediaire
01454;Virignin;3_intermediaire
01456;Vongnes;3_intermediaire
01457;Vonnas;3_intermediaire
02001;Abbécourt;1_Tres_sous_dotee
02002;Achery;1_Tres_sous_dotee
02003;Acy;3_intermediaire
02004;Agnicourt-et-Séchelles;1_Tres_sous_dotee
02005;Aguilcourt;3_intermediaire
02006;Aisonville-et-Bernoville;1_Tres_sous_dotee
02007;Aizelles;3_intermediaire
02008;Aizy-Jouy;3_intermediaire
02009;Alaincourt;1_Tres_sous_dotee
02010;Allemant;3_intermediaire
02011;Ambleny;2_Sous_dotee
02012;Ambrief;2_Sous_dotee
02013;Amifontaine;3_intermediaire
02014;Amigny-Rouy;1_Tres_sous_dotee
02015;Ancienville;2_Sous_dotee
02016;Andelain;1_Tres_sous_dotee
02017;Anguilcourt-le-Sart;1_Tres_sous_dotee
02018;Anizy-le-Grand;3_intermediaire
02019;Annois;1_Tres_sous_dotee
02020;Any-Martin-Rieux;1_Tres_sous_dotee
02021;Archon;1_Tres_sous_dotee
02022;Arcy-Sainte-Restitue;2_Sous_dotee
02023;Armentières-sur-Ourcq;3_intermediaire
02024;Arrancy;3_intermediaire
02025;Artemps;1_Tres_sous_dotee
02027;Assis-sur-Serre;3_intermediaire
02028;Athies-sous-Laon;3_intermediaire
02029;Attilly;2_Sous_dotee
02030;Aubencheul-aux-Bois;1_Tres_sous_dotee
02031;Aubenton;1_Tres_sous_dotee
02032;Aubigny-aux-Kaisnes;1_Tres_sous_dotee
02033;Aubigny-en-Laonnois;3_intermediaire
02034;Audignicourt;2_Sous_dotee
02035;Audigny;1_Tres_sous_dotee
02036;Augy;3_intermediaire
02037;Aulnois-sous-Laon;3_intermediaire
02038;Les Autels;1_Tres_sous_dotee
02039;Autremencourt;1_Tres_sous_dotee
02040;Autreppes;1_Tres_sous_dotee
02041;Autreville;1_Tres_sous_dotee
02042;Azy-sur-Marne;3_intermediaire
02043;Bagneux;3_intermediaire
02044;Bancigny;1_Tres_sous_dotee
02046;Barenton-Bugny;3_intermediaire
02047;Barenton-Cel;3_intermediaire
02048;Barenton-sur-Serre;3_intermediaire
02049;Barisis-aux-Bois;1_Tres_sous_dotee
02050;Barzy-en-Thiérache;3_intermediaire
02051;Barzy-sur-Marne;3_intermediaire
02052;Bassoles-Aulers;3_intermediaire
02053;Vallées en Champagne;3_intermediaire
02054;Bazoches-et-Saint-Thibaut;3_intermediaire
02055;Beaumé;1_Tres_sous_dotee
02056;Beaumont-en-Beine;1_Tres_sous_dotee
02057;Beaurevoir;1_Tres_sous_dotee
02058;Beaurieux;3_intermediaire
02059;Beautor;1_Tres_sous_dotee
02060;Beauvois-en-Vermandois;2_Sous_dotee
02061;Becquigny;1_Tres_sous_dotee
02062;Belleau;3_intermediaire
02063;Bellenglise;1_Tres_sous_dotee
02064;Belleu;3_intermediaire
02065;Bellicourt;1_Tres_sous_dotee
02066;Benay;1_Tres_sous_dotee
02067;Bergues-sur-Sambre;3_intermediaire
02068;Berlancourt;1_Tres_sous_dotee
02069;Berlise;1_Tres_sous_dotee
02070;Bernot;1_Tres_sous_dotee
02071;Berny-Rivière;2_Sous_dotee
02072;Berrieux;3_intermediaire
02073;Berry-au-Bac;3_intermediaire
02074;Bertaucourt-Epourdon;1_Tres_sous_dotee
02075;Berthenicourt;1_Tres_sous_dotee
02076;Bertricourt;3_intermediaire
02078;Besmé;1_Tres_sous_dotee
02079;Besmont;1_Tres_sous_dotee
02080;Besny-et-Loizy;3_intermediaire
02081;Béthancourt-en-Vaux;1_Tres_sous_dotee
02082;Beugneux;2_Sous_dotee
02083;Beuvardes;3_intermediaire
02084;Bézu-le-Guéry;2_Sous_dotee
02085;Bézu-Saint-Germain;3_intermediaire
02086;Bichancourt;1_Tres_sous_dotee
02087;Bieuxy;2_Sous_dotee
02088;Bièvres;3_intermediaire
02089;Billy-sur-Aisne;3_intermediaire
02090;Billy-sur-Ourcq;2_Sous_dotee
02091;Blanzy-lès-Fismes;3_intermediaire
02093;Blérancourt;1_Tres_sous_dotee
02094;Blesmes;3_intermediaire
02095;Bohain-en-Vermandois;1_Tres_sous_dotee
02096;Bois-lès-Pargny;3_intermediaire
02097;Boncourt;3_intermediaire
02098;Bonneil;3_intermediaire
02099;Bonnesvalyn;3_intermediaire
02100;Bony;1_Tres_sous_dotee
02101;Bosmont-sur-Serre;1_Tres_sous_dotee
02102;Bouconville-Vauclair;3_intermediaire
02103;Boué;3_intermediaire
02104;Bouffignereux;3_intermediaire
02105;Bouresches;3_intermediaire
02106;Bourg-et-Comin;3_intermediaire
02107;Bourguignon-sous-Coucy;1_Tres_sous_dotee
02108;Bourguignon-sous-Montbavin;3_intermediaire
02109;La Bouteille;1_Tres_sous_dotee
02110;Braine;3_intermediaire
02111;Brancourt-en-Laonnois;3_intermediaire
02112;Brancourt-le-Grand;1_Tres_sous_dotee
02114;Brasles;3_intermediaire
02115;Braye-en-Laonnois;3_intermediaire
02116;Braye-en-Thiérache;1_Tres_sous_dotee
02117;Bray-Saint-Christophe;1_Tres_sous_dotee
02118;Braye;3_intermediaire
02119;Brécy;3_intermediaire
02120;Brenelle;3_intermediaire
02121;Breny;3_intermediaire
02122;Brie;3_intermediaire
02123;Brissay-Choigny;1_Tres_sous_dotee
02124;Brissy-Hamégicourt;1_Tres_sous_dotee
02125;Brumetz;2_Sous_dotee
02126;Brunehamel;1_Tres_sous_dotee
02127;Bruyères-sur-Fère;3_intermediaire
02128;Bruyères-et-Montbérault;3_intermediaire
02129;Bruys;3_intermediaire
02130;Bucilly;1_Tres_sous_dotee
02131;Bucy-le-Long;3_intermediaire
02132;Bucy-lès-Cerny;3_intermediaire
02133;Bucy-lès-Pierrepont;3_intermediaire
02134;Buire;1_Tres_sous_dotee
02135;Buironfosse;3_intermediaire
02136;Burelles;1_Tres_sous_dotee
02137;Bussiares;3_intermediaire
02138;Buzancy;2_Sous_dotee
02139;Caillouël-Crépigny;1_Tres_sous_dotee
02140;Camelin;1_Tres_sous_dotee
02141;La Capelle;3_intermediaire
02142;Castres;2_Sous_dotee
02143;Le Catelet;1_Tres_sous_dotee
02144;Caulaincourt;2_Sous_dotee
02145;Caumont;1_Tres_sous_dotee
02146;Celles-lès-Condé;3_intermediaire
02148;Celles-sur-Aisne;3_intermediaire
02149;Cerizy;1_Tres_sous_dotee
02150;Cerny-en-Laonnois;3_intermediaire
02151;Cerny-lès-Bucy;3_intermediaire
02152;Cerseuil;3_intermediaire
02153;Cessières-Suzy;3_intermediaire
02154;Chacrise;2_Sous_dotee
02155;Chaillevois;3_intermediaire
02156;Chalandry;3_intermediaire
02157;Chambry;3_intermediaire
02158;Chamouille;3_intermediaire
02159;Champs;1_Tres_sous_dotee
02160;Chaourse;1_Tres_sous_dotee
02162;La Chapelle-sur-Chézy;3_intermediaire
02163;Charly-sur-Marne;2_Sous_dotee
02164;Le Charmel;3_intermediaire
02165;Charmes;1_Tres_sous_dotee
02166;Chartèves;3_intermediaire
02167;Chassemy;3_intermediaire
02168;Château-Thierry;3_intermediaire
02169;Châtillon-lès-Sons;1_Tres_sous_dotee
02170;Châtillon-sur-Oise;1_Tres_sous_dotee
02171;Chaudardes;3_intermediaire
02172;Chaudun;2_Sous_dotee
02173;Chauny;1_Tres_sous_dotee
02174;Chavignon;3_intermediaire
02175;Chavigny;3_intermediaire
02176;Chavonne;3_intermediaire
02177;Chérêt;3_intermediaire
02178;Chermizy-Ailles;3_intermediaire
02179;Chéry-Chartreuve;3_intermediaire
02180;Chéry-lès-Pouilly;3_intermediaire
02181;Chéry-lès-Rozoy;1_Tres_sous_dotee
02182;Chevennes;1_Tres_sous_dotee
02183;Chevregny;3_intermediaire
02184;Chevresis-Monceau;3_intermediaire
02185;Chézy-en-Orxois;2_Sous_dotee
02186;Chézy-sur-Marne;3_intermediaire
02187;Chierry;3_intermediaire
02188;Chigny;1_Tres_sous_dotee
02189;Chivres-en-Laonnois;3_intermediaire
02190;Chivres-Val;3_intermediaire
02191;Chivy-lès-Étouvelles;3_intermediaire
02192;Chouy;2_Sous_dotee
02193;Cierges;2_Sous_dotee
02194;Cilly;1_Tres_sous_dotee
02195;Ciry-Salsogne;3_intermediaire
02196;Clacy-et-Thierret;3_intermediaire
02197;Clairfontaine;3_intermediaire
02198;Clamecy;3_intermediaire
02199;Clastres;1_Tres_sous_dotee
02200;Clermont-les-Fermes;1_Tres_sous_dotee
02201;Cœuvres-et-Valsery;2_Sous_dotee
02203;Coincy;3_intermediaire
02204;Coingt;1_Tres_sous_dotee
02205;Colligis-Crandelain;3_intermediaire
02206;Colonfay;1_Tres_sous_dotee
02207;Commenchon;1_Tres_sous_dotee
02208;Concevreux;3_intermediaire
02209;Condé-en-Brie;3_intermediaire
02210;Condé-sur-Aisne;3_intermediaire
02211;Condé-sur-Suippe;3_intermediaire
02212;Condren;1_Tres_sous_dotee
02213;Connigis;3_intermediaire
02214;Contescourt;2_Sous_dotee
02215;Corbeny;3_intermediaire
02216;Corcy;2_Sous_dotee
02217;Coucy-le-Château-Auffrique;1_Tres_sous_dotee
02218;Coucy-lès-Eppes;3_intermediaire
02219;Coucy-la-Ville;1_Tres_sous_dotee
02220;Coulonges-Cohan;2_Sous_dotee
02221;Coupru;2_Sous_dotee
02222;Courbes;1_Tres_sous_dotee
02223;Courboin;3_intermediaire
02224;Courcelles-sur-Vesle;3_intermediaire
02225;Courchamps;2_Sous_dotee
02226;Courmelles;3_intermediaire
02227;Courmont;2_Sous_dotee
02228;Courtemont-Varennes;3_intermediaire
02229;Courtrizy-et-Fussigny;3_intermediaire
02230;Couvrelles;3_intermediaire
02231;Couvron-et-Aumencourt;3_intermediaire
02232;Coyolles;2_Sous_dotee
02233;Cramaille;2_Sous_dotee
02234;Craonne;3_intermediaire
02235;Craonnelle;3_intermediaire
02236;Crécy-au-Mont;1_Tres_sous_dotee
02237;Crécy-sur-Serre;3_intermediaire
02238;Crépy;3_intermediaire
02239;Crézancy;3_intermediaire
02240;Croix-Fonsomme;1_Tres_sous_dotee
