CartoSanté; ; 
Référentiel géographique : France par commune et arrondissement mun.; ; 
Code;Libellé;Zonage kinés
01397;Sauverny;1_Tres_sous_dotee
01398;Savigneux;3_intermediaire
01399;Ségny;1_Tres_sous_dotee
01400;Seillonnaz;1_Tres_sous_dotee
01401;Sergy;1_Tres_sous_dotee
01402;Sermoyer;1_Tres_sous_dotee
01403;Serrières-de-Briord;1_Tres_sous_dotee
01404;Serrières-sur-Ain;3_intermediaire
01405;Servas;1_Tres_sous_dotee
01406;Servignat;1_Tres_sous_dotee
01407;Seyssel;3_intermediaire
01408;Simandre-sur-Suran;1_Tres_sous_dotee
01410;Sonthonnax-la-Montagne;2_Sous_dotee
01411;Souclin;3_intermediaire
01412;Sulignat;1_Tres_sous_dotee
01415;Talissieu;3_intermediaire
01416;Tenay;3_intermediaire
01418;Thil;3_intermediaire
01419;Thoiry;1_Tres_sous_dotee
01420;Thoissey;2_Sous_dotee
01421;Torcieu;3_intermediaire
01422;Tossiat;1_Tres_sous_dotee
01423;Toussieux;3_intermediaire
01424;Tramoyes;3_intermediaire
01425;La Tranclière;1_Tres_sous_dotee
01426;Val-Revermont;1_Tres_sous_dotee
01427;Trévoux;3_intermediaire
01428;Valeins;1_Tres_sous_dotee
01429;Vandeins;1_Tres_sous_dotee
01430;Varambon;3_intermediaire
01431;Vaux-en-Bugey;3_intermediaire
01432;Verjon;1_Tres_sous_dotee
01433;Vernoux;1_Tres_sous_dotee
01434;Versailleux;2_Sous_dotee
01435;Versonnex;1_Tres_sous_dotee
01436;Vesancy;1_Tres_sous_dotee
01437;Vescours;1_Tres_sous_dotee
01439;Vésines;3_intermediaire
01441;Vieu-d'Izenave;2_Sous_dotee
01443;Villars-les-Dombes;2_Sous_dotee
01444;Villebois;1_Tres_sous_dotee
01445;Villemotier;1_Tres_sous_dotee
01446;Villeneuve;3_intermediaire
01447;Villereversure;1_Tres_sous_dotee
01448;Villes;1_Tres_sous_dotee
01449;Villette-sur-Ain;3_intermediaire
01450;Villieu-Loyes-Mollon;2_Sous_dotee
01451;Viriat;3_intermediaire
01452;Virieu-le-Grand;3_intermediaire
01453;Arvière-en-Valromey;3_intermediaire
01454;Virignin;3_intermediaire
01456;Vongnes;3_intermediaire
01457;Vonnas;1_Tres_sous_dotee
02001;Abbécourt;1_Tres_sous_dotee
02002;Achery;1_Tres_sous_dotee
02003;Acy;2_Sous_dotee
02004;Agnicourt-et-Séchelles;1_Tres_sous_dotee
02005;Aguilcourt;3_intermediaire
02006;Aisonville-et-Bernoville;3_intermediaire
02007;Aizelles;1_Tres_sous_dotee
02008;Aizy-Jouy;1_Tres_sous_dotee
02009;Alaincourt;2_Sous_dotee
02010;Allemant;1_Tres_sous_dotee
02011;Ambleny;1_Tres_sous_dotee
02012;Ambrief;1_Tres_sous_dotee
02013;Amifontaine;1_Tres_sous_dotee
02014;Amigny-Rouy;1_Tres_sous_dotee
02015;Ancienville;1_Tres_sous_dotee
02016;Andelain;1_Tres_sous_dotee
02017;Anguilcourt-le-Sart;1_Tres_sous_dotee
02018;Anizy-le-Grand;1_Tres_sous_dotee
02019;Annois;1_Tres_sous_dotee
02020;Any-Martin-Rieux;2_Sous_dotee
02021;Archon;2_Sous_dotee
02022;Arcy-Sainte-Restitue;1_Tres_sous_dotee
02023;Armentières-sur-Ourcq;2_Sous_dotee
02024;Arrancy;1_Tres_sous_dotee
02025;Artemps;1_Tres_sous_dotee
02027;Assis-sur-Serre;1_Tres_sous_dotee
02028;Athies-sous-Laon;1_Tres_sous_dotee
02029;Attilly;1_Tres_sous_dotee
02030;Aubencheul-aux-Bois;3_intermediaire
02031;Aubenton;2_Sous_dotee
02032;Aubigny-aux-Kaisnes;1_Tres_sous_dotee
02033;Aubigny-en-Laonnois;1_Tres_sous_dotee
02034;Audignicourt;1_Tres_sous_dotee
02035;Audigny;1_Tres_sous_dotee
02036;Augy;1_Tres_sous_dotee
02037;Aulnois-sous-Laon;1_Tres_sous_dotee
02038;Les Autels;2_Sous_dotee
02039;Autremencourt;1_Tres_sous_dotee
02040;Autreppes;1_Tres_sous_dotee
02041;Autreville;1_Tres_sous_dotee
02042;Azy-sur-Marne;2_Sous_dotee
02043;Bagneux;2_Sous_dotee
02044;Bancigny;1_Tres_sous_dotee
02046;Barenton-Bugny;1_Tres_sous_dotee
02047;Barenton-Cel;1_Tres_sous_dotee
02048;Barenton-sur-Serre;1_Tres_sous_dotee
02049;Barisis-aux-Bois;1_Tres_sous_dotee
02050;Barzy-en-Thiérache;2_Sous_dotee
02051;Barzy-sur-Marne;2_Sous_dotee
02052;Bassoles-Aulers;1_Tres_sous_dotee
02053;Vallées en Champagne;1_Tres_sous_dotee
02054;Bazoches-et-Saint-Thibaut;3_intermediaire
02055;Beaumé;2_Sous_dotee
02056;Beaumont-en-Beine;1_Tres_sous_dotee
02057;Beaurevoir;3_intermediaire
02058;Beaurieux;3_intermediaire
02059;Beautor;1_Tres_sous_dotee
02060;Beauvois-en-Vermandois;1_Tres_sous_dotee
02061;Becquigny;3_intermediaire
02062;Belleau;2_Sous_dotee
02063;Bellenglise;1_Tres_sous_dotee
02064;Belleu;2_Sous_dotee
02065;Bellicourt;1_Tres_sous_dotee
02066;Benay;2_Sous_dotee
02067;Bergues-sur-Sambre;2_Sous_dotee
02068;Berlancourt;1_Tres_sous_dotee
02069;Berlise;2_Sous_dotee
02070;Bernot;1_Tres_sous_dotee
02071;Berny-Rivière;1_Tres_sous_dotee
02072;Berrieux;1_Tres_sous_dotee
02073;Berry-au-Bac;2_Sous_dotee
02074;Bertaucourt-Epourdon;1_Tres_sous_dotee
02075;Berthenicourt;2_Sous_dotee
02076;Bertricourt;2_Sous_dotee
02078;Besmé;1_Tres_sous_dotee
02079;Besmont;2_Sous_dotee
02080;Besny-et-Loizy;1_Tres_sous_dotee
02081;Béthancourt-en-Vaux;1_Tres_sous_dotee
02082;Beugneux;1_Tres_sous_dotee
02083;Beuvardes;2_Sous_dotee
02084;Bézu-le-Guéry;1_Tres_sous_dotee
02085;Bézu-Saint-Germain;2_Sous_dotee
02086;Bichancourt;1_Tres_sous_dotee
02087;Bieuxy;1_Tres_sous_dotee
02088;Bièvres;1_Tres_sous_dotee
02089;Billy-sur-Aisne;2_Sous_dotee
02090;Billy-sur-Ourcq;1_Tres_sous_dotee
02091;Blanzy-lès-Fismes;3_intermediaire
02093;Blérancourt;1_Tres_sous_dotee
02094;Blesmes;2_Sous_dotee
02095;Bohain-en-Vermandois;3_intermediaire
02096;Bois-lès-Pargny;1_Tres_sous_dotee
02097;Boncourt;1_Tres_sous_dotee
02098;Bonneil;2_Sous_dotee
02099;Bonnesvalyn;2_Sous_dotee
02100;Bony;3_intermediaire
02101;Bosmont-sur-Serre;1_Tres_sous_dotee
02102;Bouconville-Vauclair;1_Tres_sous_dotee
02103;Boué;2_Sous_dotee
02104;Bouffignereux;2_Sous_dotee
02105;Bouresches;2_Sous_dotee
02106;Bourg-et-Comin;3_intermediaire
02107;Bourguignon-sous-Coucy;1_Tres_sous_dotee
02108;Bourguignon-sous-Montbavin;1_Tres_sous_dotee
02109;La Bouteille;1_Tres_sous_dotee
02110;Braine;1_Tres_sous_dotee
02111;Brancourt-en-Laonnois;1_Tres_sous_dotee
02112;Brancourt-le-Grand;3_intermediaire
02114;Brasles;2_Sous_dotee
02115;Braye-en-Laonnois;2_Sous_dotee
02116;Braye-en-Thiérache;1_Tres_sous_dotee
02117;Bray-Saint-Christophe;1_Tres_sous_dotee
02118;Braye;1_Tres_sous_dotee
02119;Brécy;2_Sous_dotee
02120;Brenelle;1_Tres_sous_dotee
02121;Breny;2_Sous_dotee
02122;Brie;1_Tres_sous_dotee
02123;Brissay-Choigny;1_Tres_sous_dotee
02124;Brissy-Hamégicourt;2_Sous_dotee
02125;Brumetz;1_Tres_sous_dotee
02126;Brunehamel;2_Sous_dotee
02127;Bruyères-sur-Fère;2_Sous_dotee
02128;Bruyères-et-Montbérault;1_Tres_sous_dotee
02129;Bruys;3_intermediaire
02130;Bucilly;2_Sous_dotee
02131;Bucy-le-Long;1_Tres_sous_dotee
02132;Bucy-lès-Cerny;1_Tres_sous_dotee
02133;Bucy-lès-Pierrepont;1_Tres_sous_dotee
02134;Buire;2_Sous_dotee
02135;Buironfosse;2_Sous_dotee
02136;Burelles;1_Tres_sous_dotee
02137;Bussiares;2_Sous_dotee
02138;Buzancy;1_Tres_sous_dotee
02139;Caillouël-Crépigny;1_Tres_sous_dotee
02140;Camelin;1_Tres_sous_dotee
02141;La Capelle;2_Sous_dotee
02142;Castres;3_intermediaire
02143;Le Catelet;3_intermediaire
02144;Caulaincourt;1_Tres_sous_dotee
02145;Caumont;1_Tres_sous_dotee
02146;Celles-lès-Condé;1_Tres_sous_dotee
02148;Celles-sur-Aisne;1_Tres_sous_dotee
02149;Cerizy;2_Sous_dotee
02150;Cerny-en-Laonnois;1_Tres_sous_dotee
02151;Cerny-lès-Bucy;1_Tres_sous_dotee
02152;Cerseuil;1_Tres_sous_dotee
02153;Cessières-Suzy;1_Tres_sous_dotee
02154;Chacrise;1_Tres_sous_dotee
02155;Chaillevois;1_Tres_sous_dotee
02156;Chalandry;1_Tres_sous_dotee
02157;Chambry;1_Tres_sous_dotee
02158;Chamouille;1_Tres_sous_dotee
02159;Champs;1_Tres_sous_dotee
02160;Chaourse;1_Tres_sous_dotee
02162;La Chapelle-sur-Chézy;2_Sous_dotee
02163;Charly-sur-Marne;2_Sous_dotee
02164;Le Charmel;2_Sous_dotee
02165;Charmes;1_Tres_sous_dotee
02166;Chartèves;2_Sous_dotee
02167;Chassemy;1_Tres_sous_dotee
02168;Château-Thierry;2_Sous_dotee
02169;Châtillon-lès-Sons;1_Tres_sous_dotee
02170;Châtillon-sur-Oise;1_Tres_sous_dotee
02171;Chaudardes;3_intermediaire
02172;Chaudun;1_Tres_sous_dotee
02173;Chauny;1_Tres_sous_dotee
02174;Chavignon;1_Tres_sous_dotee
02175;Chavigny;2_Sous_dotee
02176;Chavonne;1_Tres_sous_dotee
02177;Chérêt;1_Tres_sous_dotee
02178;Chermizy-Ailles;1_Tres_sous_dotee
02179;Chéry-Chartreuve;3_intermediaire
02180;Chéry-lès-Pouilly;1_Tres_sous_dotee
02181;Chéry-lès-Rozoy;2_Sous_dotee
02182;Chevennes;1_Tres_sous_dotee
02183;Chevregny;1_Tres_sous_dotee
02184;Chevresis-Monceau;1_Tres_sous_dotee
02185;Chézy-en-Orxois;1_Tres_sous_dotee
02186;Chézy-sur-Marne;2_Sous_dotee
02187;Chierry;2_Sous_dotee
02188;Chigny;1_Tres_sous_dotee
02189;Chivres-en-Laonnois;1_Tres_sous_dotee
02190;Chivres-Val;1_Tres_sous_dotee
02191;Chivy-lès-Étouvelles;1_Tres_sous_dotee
02192;Chouy;1_Tres_sous_dotee
02193;Cierges;2_Sous_dotee
02194;Cilly;1_Tres_sous_dotee
02195;Ciry-Salsogne;1_Tres_sous_dotee
02196;Clacy-et-Thierret;1_Tres_sous_dotee
02197;Clairfontaine;2_Sous_dotee
02198;Clamecy;1_Tres_sous_dotee
02199;Clastres;1_Tres_sous_dotee
02200;Clermont-les-Fermes;1_Tres_sous_dotee
02201;Cœuvres-et-Valsery;1_Tres_sous_dotee
02203;Coincy;2_Sous_dotee
02204;Coingt;2_Sous_dotee
02205;Colligis-Crandelain;1_Tres_sous_dotee
02206;Colonfay;1_Tres_sous_dotee
02207;Commenchon;1_Tres_sous_dotee
02208;Concevreux;3_intermediaire
02209;Condé-en-Brie;1_Tres_sous_dotee
02210;Condé-sur-Aisne;1_Tres_sous_dotee
02211;Condé-sur-Suippe;3_intermediaire
02212;Condren;1_Tres_sous_dotee
02213;Connigis;2_Sous_dotee
02214;Contescourt;3_intermediaire
02215;Corbeny;3_intermediaire
02216;Corcy;1_Tres_sous_dotee
02217;Coucy-le-Château-Auffrique;1_Tres_sous_dotee
02218;Coucy-lès-Eppes;1_Tres_sous_dotee
02219;Coucy-la-Ville;1_Tres_sous_dotee
02220;Coulonges-Cohan;2_Sous_dotee
02221;Coupru;2_Sous_dotee
02222;Courbes;1_Tres_sous_dotee
02223;Courboin;2_Sous_dotee
02224;Courcelles-sur-Vesle;1_Tres_sous_dotee
02225;Courchamps;1_Tres_sous_dotee
02226;Courmelles;2_Sous_dotee
02227;Courmont;2_Sous_dotee
02228;Courtemont-Varennes;2_Sous_dotee
02229;Courtrizy-et-Fussigny;1_Tres_sous_dotee
02230;Couvrelles;1_Tres_sous_dotee
02231;Couvron-et-Aumencourt;1_Tres_sous_dotee
02232;Coyolles;1_Tres_sous_dotee
02233;Cramaille;1_Tres_sous_dotee
02234;Craonne;3_intermediaire
02235;Craonnelle;3_intermediaire
02236;Crécy-au-Mont;1_Tres_sous_dotee
02237;Crécy-sur-Serre;1_Tres_sous_dotee
02238;Crépy;1_Tres_sous_dotee
02239;Crézancy;2_Sous_dotee
